time,open,high,low,close,Volume,Volume MA
2019-01-01 04:00:00,1.14562,1.14673,1.14561,1.14673,1420,
2019-01-02 05:00:00,1.1463,1.14644,1.14597,1.14606,1142,
2019-01-02 06:00:00,1.14622,1.14678,1.14558,1.14611,2304,
2019-01-02 07:00:00,1.14612,1.14626,1.14544,1.14561,1815,
2019-01-02 08:00:00,1.1456,1.14562,1.14458,1.14522,2511,
2019-01-02 09:00:00,1.14523,1.14534,1.14427,1.14457,2863,
2019-01-02 10:00:00,1.14456,1.14488,1.14446,1.14458,1344,
2019-01-02 11:00:00,1.14457,1.1447,1.14428,1.1445,1555,
2019-01-02 12:00:00,1.14451,1.14789,1.14451,1.14779,2853,
2019-01-02 13:00:00,1.1478,1.14967,1.1477,1.14853,3924,
2019-01-02 14:00:00,1.14852,1.14931,1.14739,1.14766,4906,
2019-01-02 15:00:00,1.14764,1.1478,1.14288,1.14481,8473,
2019-01-02 16:00:00,1.14479,1.14497,1.14222,1.1434,6742,
2019-01-02 17:00:00,1.14341,1.14418,1.1432,1.14369,4913,
2019-01-02 18:00:00,1.14366,1.14391,1.14246,1.14338,4260,
2019-01-02 19:00:00,1.1434,1.14341,1.13979,1.14051,5159,
2019-01-02 20:00:00,1.14049,1.14056,1.13675,1.13718,7894,
2019-01-02 21:00:00,1.13717,1.13754,1.13584,1.13608,7708,
2019-01-02 22:00:00,1.1361,1.13696,1.13418,1.13537,9154,
2019-01-02 23:00:00,1.13539,1.13621,1.13488,1.13564,5748,4334.4
2019-01-03 00:00:00,1.13563,1.13569,1.13313,1.13353,5843,4555.55
2019-01-03 01:00:00,1.13352,1.13362,1.13264,1.13279,3940,4695.45
2019-01-03 02:00:00,1.13278,1.13442,1.1325,1.13436,3481,4754.3
2019-01-03 03:00:00,1.13441,1.13476,1.13404,1.1345,3656,4846.35
2019-01-03 04:00:00,1.13457,1.13479,1.13402,1.13435,1911,4816.35
2019-01-03 05:00:00,1.13458,1.13528,1.13076,1.13312,4017,4874.05
2019-01-03 06:00:00,1.13315,1.13498,1.13089,1.13122,4838,5048.75
2019-01-03 07:00:00,1.13119,1.13467,1.13099,1.13397,4273,5184.65
2019-01-03 08:00:00,1.13398,1.13525,1.13397,1.13484,4232,5253.6
2019-01-03 09:00:00,1.13485,1.13615,1.13461,1.13583,3690,5241.9
2019-01-03 10:00:00,1.13582,1.13715,1.13569,1.13648,2871,5140.15
2019-01-03 11:00:00,1.13647,1.13679,1.13604,1.13673,1536,4793.3
2019-01-03 12:00:00,1.13674,1.13698,1.1357,1.13609,3290,4620.7
2019-01-03 13:00:00,1.1361,1.13765,1.13548,1.13722,3596,4554.85
2019-01-03 14:00:00,1.13721,1.13767,1.13617,1.13696,6562,4669.95
2019-01-03 15:00:00,1.13695,1.13838,1.1354,1.138,8705,4847.25
2019-01-03 16:00:00,1.13798,1.13839,1.13729,1.13758,5638,4734.45
2019-01-03 17:00:00,1.13757,1.13794,1.13635,1.13683,5349,4616.5
2019-01-03 18:00:00,1.1368,1.13716,1.13404,1.13414,5512,4434.4
2019-01-03 19:00:00,1.13413,1.13554,1.13396,1.13435,4423,4368.15
2019-01-03 20:00:00,1.13439,1.13669,1.13376,1.13654,7162,4434.1
2019-01-03 21:00:00,1.13652,1.13723,1.13614,1.13644,6625,4568.35
2019-01-03 22:00:00,1.13727,1.14092,1.13727,1.13928,13290,5058.8
2019-01-03 23:00:00,1.13927,1.14109,1.1387,1.13983,10159,5383.95
2019-01-04 00:00:00,1.13985,1.14055,1.13932,1.13987,6505,5613.65
2019-01-04 01:00:00,1.13983,1.14067,1.13963,1.14007,4703,5647.95
2019-01-04 02:00:00,1.14012,1.14039,1.1383,1.13915,4230,5617.55
2019-01-04 03:00:00,1.13913,1.14014,1.13899,1.13997,4831,5645.45
2019-01-04 04:00:00,1.13979,1.13996,1.13934,1.13942,1684,5518.05
2019-01-04 05:00:00,1.13924,1.13982,1.13848,1.13931,2243,5445.7
2019-01-04 06:00:00,1.13927,1.13965,1.13895,1.139,2112,5407.75
2019-01-04 07:00:00,1.13903,1.14056,1.13893,1.14052,3259,5493.9
2019-01-04 08:00:00,1.14053,1.14116,1.14029,1.14041,3104,5484.6
2019-01-04 09:00:00,1.14042,1.14076,1.13975,1.13977,2013,5405.45
2019-01-04 10:00:00,1.13975,1.13987,1.13881,1.13979,2730,5213.85
2019-01-04 11:00:00,1.13981,1.13986,1.13901,1.13942,1891,4873.15
2019-01-04 12:00:00,1.13941,1.13983,1.13893,1.139,1752,4678.85
2019-01-04 13:00:00,1.13896,1.1394,1.13833,1.13934,2196,4521.2
2019-01-04 14:00:00,1.13933,1.14096,1.13919,1.14078,4721,4481.65
2019-01-04 15:00:00,1.14077,1.14168,1.14024,1.14081,5186,4519.8
2019-01-04 16:00:00,1.1408,1.1419,1.14024,1.14032,4827,4403.05
2019-01-04 17:00:00,1.1403,1.14086,1.1395,1.1404,4723,4307.95
2019-01-04 18:00:00,1.14043,1.14157,1.1403,1.14116,3172,3802.05
2019-01-04 19:00:00,1.14115,1.14139,1.14048,1.14057,3371,3462.65
2019-01-04 20:00:00,1.14058,1.14078,1.13642,1.13714,9318,3603.3
2019-01-04 21:00:00,1.13712,1.13729,1.13462,1.13537,9003,3818.3
2019-01-04 22:00:00,1.13535,1.14107,1.13458,1.14099,12282,4220.9
2019-01-04 23:00:00,1.14105,1.14178,1.13996,1.14088,8137,4386.2
2019-01-05 00:00:00,1.1409,1.14118,1.13932,1.14054,5488,4576.4
2019-01-05 01:00:00,1.14051,1.14107,1.14026,1.14041,3864,4657.45
2019-01-05 02:00:00,1.1404,1.1404,1.1394,1.14001,5126,4808.15
2019-01-05 03:00:00,1.13999,1.14043,1.13958,1.13969,2442,4767.3
2019-01-07 05:00:00,1.13946,1.14054,1.13946,1.14046,1005,4662.35
2019-01-07 06:00:00,1.14054,1.1413,1.14047,1.14103,2471,4685.25
2019-01-07 07:00:00,1.14102,1.14134,1.14046,1.14093,2303,4663.9
2019-01-07 08:00:00,1.14091,1.1423,1.14079,1.14211,2283,4683.5
2019-01-07 09:00:00,1.14213,1.14224,1.14171,1.14201,1666,4679.2
2019-01-07 10:00:00,1.14198,1.14258,1.14164,1.14226,1753,4657.05
2019-01-07 11:00:00,1.14227,1.14299,1.14202,1.14204,2428,4542.4
2019-01-07 12:00:00,1.14203,1.14247,1.14201,1.14234,1595,4362.85
2019-01-07 13:00:00,1.14233,1.14272,1.14142,1.14166,2526,4247.8
2019-01-07 14:00:00,1.14165,1.14389,1.14101,1.14363,4883,4255.8
2019-01-07 15:00:00,1.14366,1.14402,1.14281,1.14314,5135,4353.95
2019-01-07 16:00:00,1.14311,1.14478,1.14294,1.14411,4070,4388.9
2019-01-07 17:00:00,1.14412,1.14452,1.14351,1.14388,3433,4094.65
2019-01-07 18:00:00,1.14386,1.14441,1.14334,1.14405,2887,3788.85
2019-01-07 19:00:00,1.14404,1.14473,1.14368,1.14394,3828,3366.15
2019-01-07 20:00:00,1.144,1.1459,1.14397,1.14578,5103,3214.45
2019-01-07 21:00:00,1.14577,1.14727,1.1456,1.14675,5464,3213.25
2019-01-07 22:00:00,1.14704,1.14707,1.14539,1.14636,8028,3421.45
2019-01-07 23:00:00,1.14634,1.147,1.14587,1.14675,5683,3449.3
2019-01-08 00:00:00,1.14673,1.14712,1.14641,1.14691,3463,3500.35
2019-01-08 01:00:00,1.1469,1.14825,1.14677,1.14742,3582,3629.2
2019-01-08 02:00:00,1.14743,1.14826,1.14731,1.14794,2941,3652.7
2019-01-08 03:00:00,1.14797,1.148,1.14698,1.14751,2571,3666.1
2019-01-08 04:00:00,1.14769,1.1477,1.14724,1.14741,1104,3607.15
2019-01-08 05:00:00,1.14738,1.14775,1.14709,1.14751,1174,3582.55
2019-01-08 06:00:00,1.1476,1.14805,1.14755,1.1479,1555,3572.65
2019-01-08 07:00:00,1.14789,1.14846,1.14669,1.14678,2583,3580.4
2019-01-08 08:00:00,1.14676,1.14693,1.14471,1.14483,3152,3658.25
2019-01-08 09:00:00,1.14482,1.14533,1.14417,1.14504,2533,3658.6
2019-01-08 10:00:00,1.14503,1.14516,1.14352,1.14386,2518,3540.35
2019-01-08 11:00:00,1.14387,1.14402,1.14321,1.14389,2017,3384.45
2019-01-08 12:00:00,1.14388,1.14441,1.14384,1.14437,1969,3279.4
2019-01-08 13:00:00,1.14439,1.14554,1.14411,1.14458,2661,3240.8
2019-01-08 14:00:00,1.14459,1.14525,1.14333,1.14439,6034,3398.15
2019-01-08 15:00:00,1.14438,1.14509,1.14337,1.1449,4594,3436.45
2019-01-08 16:00:00,1.14489,1.1461,1.14474,1.1452,3842,3373.4
2019-01-08 17:00:00,1.14519,1.14519,1.14342,1.14462,4826,3341.5
2019-01-08 18:00:00,1.14457,1.14692,1.14419,1.14657,4035,3141.85
2019-01-08 19:00:00,1.14656,1.14678,1.1443,1.14497,4270,3071.2
2019-01-08 20:00:00,1.14498,1.14498,1.14225,1.14275,6431,3219.6
2019-01-08 21:00:00,1.14276,1.1444,1.14245,1.14387,5739,3327.45
2019-01-08 22:00:00,1.14385,1.14438,1.14256,1.14416,6790,3519.9
2019-01-08 23:00:00,1.14417,1.14487,1.14366,1.14432,5226,3652.65
2019-01-09 00:00:00,1.14431,1.14555,1.14396,1.14543,4274,3811.15
2019-01-09 01:00:00,1.14544,1.14591,1.14407,1.14411,3114,3908.15
2019-01-09 02:00:00,1.1441,1.14446,1.14393,1.14424,2180,3939.4
2019-01-09 03:00:00,1.14423,1.14424,1.1436,1.14407,2049,3912.7
2019-01-09 04:00:00,1.14404,1.14418,1.14379,1.14413,1012,3805.7
2019-01-09 05:00:00,1.1441,1.14426,1.14369,1.14409,839,3721.0
2019-01-09 06:00:00,1.1441,1.14579,1.14404,1.14573,1573,3673.75
2019-01-09 07:00:00,1.1458,1.1462,1.14537,1.14561,2557,3700.75
2019-01-09 08:00:00,1.14559,1.14661,1.14554,1.14575,2569,3730.75
2019-01-09 09:00:00,1.14576,1.14604,1.14485,1.14516,2432,3719.3
2019-01-09 10:00:00,1.14517,1.14597,1.14517,1.14541,1712,3503.2
2019-01-09 11:00:00,1.14543,1.14596,1.14521,1.14596,1494,3348.2
2019-01-09 12:00:00,1.14599,1.14641,1.1457,1.14606,1837,3247.95
2019-01-09 13:00:00,1.14602,1.14648,1.14556,1.14587,1965,3104.9
2019-01-09 14:00:00,1.14586,1.14785,1.14543,1.14654,4824,3144.35
2019-01-09 15:00:00,1.14658,1.14759,1.14609,1.14631,5616,3211.65
2019-01-09 16:00:00,1.14633,1.14716,1.14559,1.14606,5077,3143.95
2019-01-09 17:00:00,1.14603,1.1463,1.14454,1.14523,4628,3088.4
2019-01-09 18:00:00,1.14524,1.14563,1.14389,1.14562,3916,2944.7
2019-01-09 19:00:00,1.14563,1.14587,1.14462,1.14505,4112,2889.0
2019-01-09 20:00:00,1.14504,1.14643,1.14479,1.14622,5667,2958.65
2019-01-09 21:00:00,1.14617,1.15255,1.14617,1.15246,10349,3320.4
2019-01-09 22:00:00,1.15242,1.15406,1.15087,1.15103,12025,3812.65
2019-01-09 23:00:00,1.15104,1.15376,1.15093,1.1524,8411,4130.75
2019-01-10 00:00:00,1.15239,1.15347,1.15213,1.15327,5287,4344.5
2019-01-10 01:00:00,1.15331,1.15406,1.15288,1.15362,4466,4525.85
2019-01-10 02:00:00,1.15361,1.15576,1.15292,1.1543,9848,4939.6
